Week,Team ID,R,HR,RBI,SB,OBP,SLG,K,W,SV,ERA,WHIP,K/BB,Win,Loss,Tie,MIP
17,3,21,4,21,1,28.999999999999996,31.25,46,1,3,4.677,1.37,2.706,3,7,2,Y
17,5,32,10,38,1,36.449999999999996,54.21,61,7,3,3.282,1.028,4.692,9,2,1,Y
17,7,28,2,32,4,34.58,40.1,42,5,0,6.246,1.545,2.1,5,7,0,Y
17,8,27,6,23,5,34.39,42.36,58,2,4,2.782,1.109,3.625,4,7,1,Y
17,9,25,10,29,6,36.0,48.26,59,5,0,2.829,1.043,3.688,10,1,1,Y
17,10,16,5,24,0,28.92,32.96,46,4,3,2.589,1.151,3.067,7,3,2,Y
17,11,31,9,27,2,36.14,49.45,58,4,2,4.073,1.207,3.867,7,4,1,Y
17,13,26,6,21,3,29.330000000000002,35.5,62,6,5,1.632,0.907,4.133,7,5,0,Y
17,14,30,6,14,8,33.33,37.5,46,2,3,2.25,1.083,3.833,2,9,1,Y
17,15,21,5,17,2,29.020000000000003,33.14,36,1,6,4.175,1.206,4.0,1,11,0,N
18,1,29,6,32,4,32.129999999999995,44.879999999999995,44,4,0,3.516,1.203,3.143,3,9,0,Y
18,2,29,6,26,6,37.85,47.58,84,2,3,2.831,1.161,2.471,8,4,0,Y
18,3,31,12,34,4,32.46,46.94,29,2,1,5.094,1.387,2.636,3,9,0,N
18,5,27,6,27,6,35.52,40.0,66,2,6,4.142,1.261,2.75,7,4,1,Y
18,7,33,6,34,5,32.269999999999996,37.95,42,3,3,3.399,1.385,2.333,7,4,1,Y
18,8,29,7,29,6,28.910000000000004,37.769999999999996,51,2,2,3.808,1.019,5.667,8,4,0,Y
18,9,24,4,24,5,33.47,42.4,66,6,0,2.166,0.85,4.4,4,8,0,Y
18,10,25,9,23,1,25.0,35.27,72,2,3,3.58,1.26,4.0,4,7,1,Y
18,11,36,7,27,3,32.7,44.87,52,4,1,5.324,1.585,2.364,4,7,1,Y
18,13,35,8,19,5,34.03,42.449999999999996,59,3,3,3.076,1.196,4.917,9,3,0,Y
18,14,32,7,30,2,36.8,50.44,78,5,3,2.378,1.01,6.0,9,3,0,Y
18,15,27,8,26,1,33.71,45.16,27,0,6,5.4,1.433,3.375,4,8,0,N
19,1,30,11,29,2,33.67,56.35,37,0,2,5.304,1.446,2.176,5,6,1,N
19,2,37,11,35,4,31.36,47.14,77,8,3,1.643,1.057,2.655,8,4,0,Y
19,3,28,10,30,0,36.41,52.0,41,4,4,2.551,0.992,4.1,9,3,0,Y
19,5,30,4,23,3,38.36,43.28,60,4,5,4.896,1.212,4.0,9,3,0,Y
19,7,31,2,21,4,32.75,34.8,45,4,1,2.761,1.074,2.647,5,6,1,Y
19,8,32,9,33,5,34.870000000000005,47.83,54,4,1,3.277,1.006,3.857,9,2,1,Y
19,9,34,7,26,3,34.260000000000005,38.84,68,4,0,3.496,1.125,3.579,2,9,1,Y
19,10,20,2,18,2,35.809999999999995,39.51,60,5,1,1.295,0.863,4.286,6,5,1,Y
19,11,19,6,21,1,26.05,30.099999999999998,49,5,1,3.42,1.04,3.063,3,9,0,Y
19,13,25,6,23,6,34.53,43.0,55,6,2,1.688,0.835,4.231,4,8,0,Y
19,14,22,4,23,0,29.830000000000002,34.72,56,4,2,3.42,0.94,5.091,6,5,1,Y
19,15,21,7,21,4,32.74,46.71,31,3,1,4.247,1.213,3.444,3,9,0,N
20,1,27,6,18,7,33.14,41.61,37,5,1,0.885,0.713,4.625,6,6,0,Y
20,2,29,12,37,1,34.21,51.959999999999994,75,3,0,3.913,1.188,3.75,6,6,0,Y
20,3,21,4,16,0,34.2,40.83,38,0,1,4.883,1.34,2.111,1,8,3,N
20,5,29,8,27,6,33.03,45.59,59,5,5,3.397,1.093,4.538,8,2,2,Y
20,7,27,9,33,4,32.92,46.760000000000005,37,5,1,2.979,1.179,2.176,7,3,2,Y
20,8,26,7,22,5,28.03,36.61,63,2,5,3.61,1.012,4.846,6,5,1,Y
20,9,29,8,28,3,34.55,44.72,42,3,0,4.821,1.357,2.1,2,8,2,Y
20,10,31,4,23,3,30.740000000000002,31.480000000000004,51,5,3,3.397,1.232,3.923,6,6,0,Y
20,11,25,9,20,1,33.71,44.0,50,3,1,5.023,1.419,2.778,3,7,2,Y
20,13,19,7,20,1,27.55,36.870000000000005,52,4,2,1.941,0.882,6.5,5,6,1,Y
20,14,24,2,21,6,34.73,35.55,68,7,2,2.727,0.985,4.857,6,6,0,Y
20,15,32,9,29,2,38.57,55.03,24,3,3,5.661,1.5,2.667,8,1,3,N
